secCode,docID,流動資産_EDINET,負債合計_EDINET,投資有価証券_EDINET,更新日
75220,S100YMJJ,56408000000.0,44357000000.0,686000000.0,2026-09-06
549A0,S100YM06,183000000.0,7094000000.0,,2026-09-06
78630,S100YLE6,3981806000.0,3057480000.0,687355000.0,2026-09-06
78360,S100YM6H,2566492000.0,1445793000.0,56098000.0,2026-09-06
81050,S100YM8W,3112522000.0,654773000.0,51318000.0,2026-09-06
94350,S100YN0V,334788000000.0,1208155000000.0,34268000000.0,2026-09-06
65640,S100YMTN,9605214000.0,13040885000.0,255064000.0,2026-09-06
24790,S100YN23,2071342000.0,798926000.0,5031000.0,2026-09-06
263A0,S100YN30,226961000.0,284418000.0,,2026-09-06
81410,S100YME7,71517000000.0,27511000000.0,6103000000.0,2026-09-06
62980,S100YMTQ,29760000000.0,23992000000.0,2313000000.0,2026-09-06
64050,S100YN3J,10841277000.0,3502851000.0,47229000.0,2026-09-06
98900,S100YN3H,12905928000.0,19032049000.0,1420989000.0,2026-09-06
63570,S100YMU3,54169895000.0,42483895000.0,8058452000.0,2026-09-06
30110,S100YHFW,2046985000.0,6210015000.0,1502000.0,2026-09-06
97600,S100YM41,15700104000.0,14303282000.0,534862000.0,2026-09-06
92570,S100YB3Z,,,,2026-09-06
36460,S100YMSD,1833862000.0,811435000.0,29506000.0,2026-09-06
36280,S100YMTV,4108984000.0,5873657000.0,59996000.0,2026-09-06
254A0,S100YCG3,169000000.0,2730000000.0,,2026-09-06
71870,S100YM65,11555655000.0,9725499000.0,128680000.0,2026-09-06
75780,S100YN6A,536192000.0,2890123000.0,,2026-09-06
85180,S100YMG4,9882000000.0,8260000000.0,117000000.0,2026-09-06
38580,S100YDYA,2513353000.0,1054428000.0,265341000.0,2026-09-06
48140,S100YN09,1017014000.0,323558000.0,140211000.0,2026-09-06
45840,S100YMXX,6700570000.0,5597518000.0,283137000.0,2026-09-06
61040,S100YLEZ,151150000000.0,82436000000.0,11754000000.0,2026-09-06
39050,S100YMGV,1391803000.0,2193817000.0,49326000.0,2026-09-06
28940,S100YMHZ,3862495000.0,3805336000.0,777918000.0,2026-09-06
62480,S100YETX,2816826000.0,707021000.0,,2026-09-06
45700,S100YLCK,1390318000.0,331031000.0,95058000.0,2026-09-06
36410,S100YJ7Y,11869000000.0,3704000000.0,66000000.0,2026-09-06
29240,S100Y9CI,9967000000.0,5588000000.0,175000000.0,2026-09-06
83610,S100YLKM,,6312601000000.0,,2026-09-06
64390,S100YIME,3875515000.0,6023276000.0,497999000.0,2026-09-06
81350,S100YJPU,26348000000.0,18205000000.0,3622000000.0,2026-09-06
77710,S100YKSP,3208865000.0,4169671000.0,27840000.0,2026-09-06
40080,S100YKNS,80122000000.0,47219000000.0,1198000000.0,2026-09-06
80120,S100YK28,560126000000.0,401683000000.0,72028000000.0,2026-09-06
82250,S100YJCQ,2191464000.0,2034688000.0,54477000.0,2026-09-06
97390,S100YJ3Q,36858000000.0,11735000000.0,1001000000.0,2026-09-06
42220,S100YLN8,5454244000.0,8624315000.0,737390000.0,2026-09-06
63330,S100YL5Z,31623710000.0,8891852000.0,1147726000.0,2026-09-06
39530,S100YK44,4539299000.0,1997052000.0,237097000.0,2026-09-06
97660,S100YKX5,182881000000.0,62696000000.0,723000000.0,2026-09-06
66760,S100YGR6,69043000000.0,31749000000.0,2298000000.0,2026-09-06
90350,S100Y9O5,93188000000.0,146147000000.0,4348000000.0,2026-09-06
35040,S100YLPB,29507263000.0,16880601000.0,23727326000.0,2026-09-06
69420,S100YFIK,1258867000.0,1005243000.0,,2026-09-06
35290,S100YKV3,16832000000.0,9184000000.0,3702000000.0,2026-09-06
78680,S100YLHM,38021000000.0,29317000000.0,1758000000.0,2026-09-06
39320,S100YLRB,41252000000.0,13177000000.0,11375000000.0,2026-09-06
68320,S100YLRR,33429242000.0,8677100000.0,2951046000.0,2026-09-06
64940,S100YL8X,3772110000.0,585516000.0,1490738000.0,2026-09-06
93360,S100YKY3,69781000000.0,90223000000.0,7763000000.0,2026-09-06
35610,S100YLK6,9778862000.0,7879743000.0,149527000.0,2026-09-06
71140,S100YJIB,2893110000.0,925321000.0,,2026-09-06
46800,S100YJKU,26321000000.0,42206000000.0,,2026-09-06
71190,S100YLIQ,652000000.0,2277000000.0,,2026-09-06
37500,S100YLDW,517163000.0,2907056000.0,250000.0,2026-09-06
72550,S100YI1Y,2971364000.0,2510798000.0,422592000.0,2026-09-06
19210,S100YLBY,30737134000.0,43526744000.0,35767825000.0,2026-09-06
24320,S100YLDV,127867000000.0,106106000000.0,93552000000.0,2026-09-06
74130,S100YKKP,2297555000.0,1783118000.0,125828000.0,2026-09-06
52870,S100YJYN,2535577000.0,2163397000.0,139045000.0,2026-09-06
90810,S100YF1P,31874000000.0,102042000000.0,17864000000.0,2026-09-06
69610,S100YLHU,38695000000.0,6559000000.0,746000000.0,2026-09-06
52470,S100YLUK,1488783000.0,920598000.0,,2026-09-06
